CompanyName,regName,regNumber,RegDate,Jurisdiction,entType,status,address
ABC Coke,ABC Coal & Coke Corporation ,700 - 155,0-0-0, ,Foreign Corporation,Withdrawn,"100 WEST TENTH STREET WILMINGTON, DE"
ADS Corp., , , , , , , 
Advertiser Co.,The Mobile Tenth Advertiser Pub. Co. Inc. ,773 - 281,10-18-1922, ,Domestic Corporation,Exists,"MOBILE, AL"
"AEgis Technologies Group, Inc.","The Aegis Technologies Group, Inc. ",126 - 793,9-29-1988, ,Domestic Corporation,Exists,"HUNTSVILLE, AL"
AI Signal Research Inc.,"AI Signal Research, Inc. ",136 - 521,4-5-1990, ,Domestic Corporation,Exists,Not Provided
Alabama Gas Corp.,Alabama Intrastate Gas Corp. ,884 - 919,0-0-0, ,Foreign Corporation,Withdrawn,"100 W TENTH STREET WILMINGTON, DE 19801"
Alabama Metal Industries Corp.,Alabama Metal Industries Corporation ,850 - 166,0-0-0, ,Foreign Corporation,Exists,"DELAWARE, DE"
Alabama River Pulp Company Inc.,"Alabama River Pulp Company, Inc. ",043 - 027,8-13-1976, ,Domestic Corporation,Merged,"MONROEVILLE, AL"
Alfa Corp.,Alfa Corporation ,883 - 336,0-0-0, ,Foreign Corporation,Exists,"100 WEST 10TH ST WILMINGTON, DE 19801"
Alto Products Corporation AL, , , , , , , 
Am Pro Molding LLC,"Ampro Molding, LLC ",466 - 905,7-14-2005, ,Domestic Limited Liability Company,Dissolved,"BIRMINGHAM, AL"
American Color Graphics Inc.,"American Color Graphics, Inc. ",889 - 128,0-0-0, ,Foreign Corporation,Withdrawn,"302 GROTE STREET BUFFALO, NY 14207"
American Hardwoods Inc.,"American Hardwoods, Inc. ",113 - 477,10-24-1986, ,Domestic Corporation,Exists,"MADISON, AL"
American Marazzi Tile Inc.,"American Marazzi Tile, Inc. ",921 - 842,3-30-1992, ,Foreign Corporation,Merged,"1301 YORK RD STE 800 LUTHERVILLE, MD 21093"
"American Technologies, Inc.","American Technologies, Inc. ",109 - 939,4-15-1986, ,Domestic Corporation,Merged,"MONTGOMERY, AL"
"American Trim, LLC","American Trim, L.L.C. ",600 - 183,1-4-1996, ,Foreign Limited Liability Company,Exists,"1209 ORANGE STREET WILMINGTON, DE 19801"
