CompanyName,regName,regNumber,RegDate,Jurisdiction,entType,status,address
Abitibi Consolidated Sales,ABITIBI CONSOLIDATED SALES CORPORATION,F08366640,4/1/1998,DE,Foreign For-Profit (Business) Corporation,Inactive, 
"AdobeAir, Inc.","ADOBE AIR CONDITIONING & HEATING, LLC",L15138362,3/25/2009,AZ,Domestic LLC,Active, 
Aerotech Laboratories Inc.,"AEROTECH LABORATORIES, INC.",06013231,6/20/2018,AZ,Domestic For-Profit (Business) Corporation,Active, 
Anthony Manufacturing Corp.,ANTHONY MANUFACTURING CORP.,F00495107,5/7/1992,CA,Foreign For-Profit (Business) Corporation,Inactive, 
Arch Aluminum & Glass Company of AZ, , , , , , , 
Arizona Precision Sheet Metal,"ARIZONA PRECISION SHEET METAL, INC.",00718981,10/11/1967,AZ,Domestic For-Profit (Business) Corporation,Active, 
Arizona Surgical Hospital, , , , , , , 
Arrowhead Hospital,"ARROWHEAD HOSPITALITY GROUP, L.L.C.",L07428844,2/21/1995,AZ,Domestic LLC,Active, 
Asarco LLC,"ASARCO ARIZONA, INC.",F07655020,12/29/1995,NY,Foreign For-Profit (Business) Corporation,Inactive, 
Atrium Door & Window Company of AZ, , , , , , , 
Avnet Inc,"AVNET COMPUTER TECHNOLOGIES LEASING, INC.",F00459850,10/9/1990,DE,Foreign For-Profit (Business) Corporation,Inactive, 
Banner Baywood Heart Hospital, , , , , , , 
Banner Baywood Medical Center, , , , , , , 
Banner Desert Medical Center, , , , , , , 
Banner Estrella Medical Center, , , , , , , 
Banner Good Samaritan Med Center, , , , , , , 
Banner Mesa Hospital, , , , , , , 
Banner Thunderbird Medical Center, , , , , , , 
Bard Peripheral Vascular Inc.,"BARD PERIPHERAL VASCULAR, INC.",00975340,7/30/1974,AZ,Domestic For-Profit (Business) Corporation,Active, 
Benson Hospital,BENSON HOSPITAL,00565676,10/20/1960,AZ,Domestic Nonprofit Corporation,Active, 
BOXX Technologies Inc.,"BOXX TECHNOLOGIES, LLC",R22286086,12/2/2017,DE,Foreign LLC,Active, 
Cascade Corporation,"CASCADE 8, LLC",L16269275,9/17/2010,AZ,Domestic LLC,Inactive, 
Cenveo Inc.,"CENVEO COMMERCIAL, INC.",F08674802,2/25/1999,DE,Foreign For-Profit (Business) Corporation,Inactive, 
Charles Lea Center, , , , , , , 
Closure Medical Corp., , , , , , , 
Coca Cola Central Business Unit, , , , , , , 
Copytronics Information System, , , , , , , 
Corning,"CORNING DATA SERVICES, INC.",F21433006,12/9/2016,NY,Foreign For-Profit (Business) Corporation,Active, 
"Del Monaco Specialty Foods, Inc", , , , , , , 
